Date,Day,How Many Product Sold,Total Revenue,Total Cost,Total Profit
01-08-2026,Saturday,68,15402.19,7905.28,7496.91
02-08-2026,Sunday,97,24859.15,11772.64,13086.51
03-08-2026,Monday,179,43426.13,23755.92,19670.21
04-08-2026,Tuesday,47,11484.96,5782.82,5702.14
05-08-2026,Wednesday,46,16832.49,10346.67,6485.82
06-08-2026,Thursday,179,58904.45,32592.9,26311.55
07-08-2026,Friday,111,47780.16,21572.49,26207.67
08-08-2026,Saturday,80,32121.3,16968.32,15152.98
09-08-2026,Sunday,79,21802.54,13639.75,8162.79
10-08-2026,Monday,66,16111.52,7608.58,8502.94
