Date,Day,How Many Product Sold,Total Revenue,Total Cost,Total Profit
21-08-2026,Friday,102,26773.43,14384.69,12388.74
22-08-2026,Saturday,96,38207.97,24600.43,13607.54
23-08-2026,Sunday,54,15095.83,6904.58,8191.25
24-08-2026,Monday,120,38916.34,18104.79,20811.55
25-08-2026,Tuesday,120,33033.95,18658.34,14375.61
26-08-2026,Wednesday,157,40372.02,19463.96,20908.06
27-08-2026,Thursday,177,51031.37,29825.53,21205.84
28-08-2026,Friday,142,44604.91,30303.9,14301.01
29-08-2026,Saturday,75,26435.76,12448.84,13986.92
30-08-2026,Sunday,52,23082.11,11198.37,11883.74
