Date,Day,How Many Product Sold,Total Revenue,Total Cost,Total Profit
11-08-2026,Tuesday,128,48252,30670.88,17581.12
12-08-2026,Wednesday,157,56428.83,38022.68,18406.15
13-08-2026,Thursday,136,32706.38,16923.3,15783.08
14-08-2026,Friday,132,48854.73,29901.61,18953.12
15-08-2026,Saturday,51,19988.35,12548.8,7439.55
16-08-2026,Sunday,60,26542.96,17234.11,9308.85
17-08-2026,Monday,137,40041.42,23872.99,16168.43
18-08-2026,Tuesday,133,34884.58,18548.56,16336.02
19-08-2026,Wednesday,108,43467.11,26393.92,17073.19
20-08-2026,Thursday,58,21945.7,10739.39,11206.31
